GENESIS-Tabelle: 12411-0012
Bevölkerung: Bundesländer, Stichtag, Altersjahre;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;
;;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
;;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
31.12.2020;unter 1 Jahr;107387;128618;37757;19256;6746;19859;59256;12123;73678;169017;37637;8185;33296;16062;24550;15953
31.12.2020;1-Jährige;109384;129057;38229;20505;6968;19966;60130;12882;75238;171563;38057;8065;34633;16905;25270;16741
31.12.2020;2-Jährige;110542;129488;38330;21760;6902;19910;61517;13390;76068;175522;39084;8210;36141;17723;26199;17580
31.12.2020;3-Jährige;110454;129649;38440;22920;6755;19827;62034;13669;76877;176136;39823;8467;37683;18517;26529;18418
31.12.2020;4-Jährige;110245;128899;38566;23863;6695;19768;62388;14088;77593;177663;39864;8465;38617;18880;27031;18976
31.12.2020;5-Jährige;106932;124455;36566;23128;6567;18695;60605;14372;74714;171177;38386;8147;38233;18602;26220;18955
31.12.2020;6-Jährige;104289;121817;35870;23893;6332;18081;58959;14137;74682;168470;37776;8140;38076;18762;26135;19168
31.12.2020;7-Jährige;101254;118452;34151;22833;5976;17332;57109;13910;71546;161306;36226;7699;37051;18353;25438;18811
31.12.2020;8-Jährige;99991;117613;34160;23344;5905;16906;56949;14054;71163;162166;35732;7812;37185;18447;25772;18684
31.12.2020;9-Jährige;98467;113676;32411;22903;5579;16033;56799;13974;70044;158210;35648;7979;36589;18099;25141;18345
31.12.2020;10-Jährige;101284;115439;32885;23623;5872;16300;57759;14524;72550;162833;36189;7952;37087;18435;26256;18769
31.12.2020;11-Jährige;100394;113800;32215;22956;5932;15950;56976;14218;71865;160699;35443;7953;35957;18163;25931;17965
31.12.2020;12-Jährige;102881;117100;32280;23372;5864;16345;58271;14291;73887;166213;36744;8178;36365;18744;26617;18418
31.12.2020;13-Jährige;103277;116789;31259;22767;6168;15924;58127;13704;74029;165346;36506;8077;35278;18051;26881;17997
31.12.2020;14-Jährige;101988;114581;29955;21706;5954;15703;56859;13324;73395;163689;35723;7971;33596;17296;26470;16960
31.12.2020;15-Jährige;104179;116643;29272;21303;5858;15664;58088;12915;74717;166102;36460;8226;33604;17430;26561;17196
31.12.2020;16-Jährige;106146;119531;29398;21599;5931;15664;59085;13481;77472;169952;37228;8387;34008;17354;27618;17724
31.12.2020;17-Jährige;106563;120675;28478;21430;6121;15564;58647;13202;77969;171772;37833;8349;32879;16838;27814;17214
31.12.2020;18-Jährige;109733;123510;29322;20564;6176;15814;59851;12945;81339;175959;38827;8767;33056;17473;28537;17166
31.12.2020;19-Jährige;114920;129646;30756;19947;7122;17113;62519;13451;83909;183305;40464;9069;34230;17952;29403;17785
31.12.2020;20-Jährige;123495;138992;34236;20502;7970;19243;66975;14053;88042;195067;42864;9559;36643;18891;31159;18252
31.12.2020;21-Jährige;127626;144673;36325;19693;8605;20421;69181;13361;89017;199237;43578;9905;35975;18406;31537;17890
31.12.2020;22-Jährige;131726;151836;38776;18793;9083;22210;72096;12923;91119;205812;44939;10008;34965;17743;31283;17671
31.12.2020;23-Jährige;138172;158745;42979;18029;9340;24689;77226;13148;94759;216929;47422;10754;35391;18029;32089;17810
