date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,2.2,0.7,4.1,0,0,,,,,
2021-01-02,2.2,1.1,3.1,5.4,0,105,4.2,,1014.4,
2021-01-03,1.1,0.2,2.3,2,30,70,8,,1012.4,
2021-01-04,1.5,1.1,1.8,0.2,0,340,3.9,,1015.2,
2021-01-05,1.2,0.5,1.9,0.5,0,356,7,,1015,
2021-01-06,1.5,1,2.1,0,0,290,9.8,,1011.8,
2021-01-07,1.5,0.8,2.3,0,0,251,11.9,,1012.4,
2021-01-08,1.5,0.4,2.9,1.7,0,244,8.5,,1013.3,
2021-01-09,0.6,-0.5,1.1,0.7,0,279,9.2,,1020.7,
2021-01-10,-0.5,-4.8,1.2,0,0,274,6.1,,1025.1,
2021-01-11,-1.6,-6.2,2.2,1.1,0,211,8.7,,1020.8,
2021-01-12,1.7,-1.1,3.8,2.2,20,241,17.2,,1007.4,
2021-01-13,2.1,-0.3,3,4.2,0,262,23.1,,1009.6,
2021-01-14,0.5,-0.8,1.4,0.9,70,305,17.2,,1013.5,
2021-01-15,-0.3,-2.4,0.6,0.7,60,312,11.9,,1022.7,
2021-01-16,-3.2,-4.4,-2.4,0,50,283,12.3,,1024.2,
2021-01-17,-4.1,-9.8,-0.8,0,30,231,4.8,,1020.6,
2021-01-18,-1.4,-7,3.3,1.7,20,230,11.1,,1020.5,
2021-01-19,4.3,2.8,6.5,1.6,0,242,18.5,,1012.6,
2021-01-20,6.1,1.5,9.5,0,0,215,17.1,,1006.7,
2021-01-21,6.1,3.4,11.6,0,0,174,20.2,,1001.5,
2021-01-22,6.9,3.1,12.7,4.1,0,186,14,,995.8,
2021-01-23,1.7,0.2,4.1,14.3,0,290,10.1,,996.4,
2021-01-24,0.7,-1.6,2,3.5,20,173,9.3,,996.1,
2021-01-25,1,-0.2,3,0,0,273,8,,1004,
2021-01-26,0.4,-1.1,1.3,0.2,0,262,11.8,,1012.6,
2021-01-27,1.4,-1.3,5,0,0,239,10.7,,1014.8,
2021-01-28,2.9,0.6,5.1,5.4,0,288,8.8,,1005.5,
2021-01-29,0.3,-0.7,1.7,15.8,0,77,9.1,,998.2,
2021-01-30,0,-2,6,0.5,20,288,11.5,,1000.8,
2021-01-31,-3.3,-7.1,1.5,0,10,119,7.5,,1006,
2021-02-01,-0.7,-4.9,2.6,0.5,10,126,12.8,,999.9,
2021-02-02,3.6,1.5,6.4,0.3,0,213,9,,1003,
2021-02-03,9.1,5.3,11.9,5.9,0,214,15.2,,1001.1,
2021-02-04,7.1,1.7,10.3,1.3,0,269,15.9,,1010.7,
2021-02-05,3.3,1.2,6.2,1.6,0,120,9.2,,1016.8,
2021-02-06,0.4,-2.5,3,4,0,81,13.8,,1015.5,
2021-02-07,-5.2,-7.4,-2.5,8.8,60,84,17.1,,1007.7,
2021-02-08,-8.3,-8.8,-7.4,2.5,180,35,7.9,,1002.1,
2021-02-09,-10.2,-16.9,-7.5,0,160,311,3.9,,1006.8,
2021-02-10,-11.7,-18,-8,0,160,270,5.5,,1012.2,
2021-02-11,-6.6,-13.5,-3.7,0.4,150,280,8.9,,1026.2,
2021-02-12,-6.5,-11.5,-4.9,0,120,290,5.6,,1035.2,
2021-02-13,-8,-13.7,-3.7,0,100,285,7.7,,1041.1,
2021-02-14,-6.6,-12.7,-0.3,0,100,249,5.1,,1042.7,
2021-02-15,-5.8,-12.9,-1.1,3.2,80,151,12.2,,1034.1,
