date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,1.7,0.1,3.5,0,0,176,9.4,20.5,1008.4,0
2021-01-02,1.4,0.1,2.8,5.2,0,118,8.3,31,1014.2,85
2021-01-03,0.4,0,1.2,1.5,40,53,13.3,35.3,1012.3,0
2021-01-04,0.2,-0.1,0.4,0.1,30,18,6.5,16.6,1015.4,0
2021-01-05,0.1,-0.3,0.6,1.1,0,7,9.7,20.5,1014.8,0
2021-01-06,0.4,-0.2,0.9,0.1,10,292,11.2,25.2,1011.6,0
2021-01-07,0.5,0,1,0,0,242,15.8,33.8,1011.8,0
2021-01-08,0.3,-0.6,1,1.4,10,232,11.5,30.2,1013.1,0
2021-01-09,-0.4,-0.9,-0.1,1,20,275,10.8,24.8,1020.6,0
2021-01-10,-1.3,-4.4,-0.2,0,20,278,8.3,20.5,1024.7,60
2021-01-11,-1.9,-5.3,0.8,4.1,20,190,16.2,38.2,1020.2,252
2021-01-12,1,-0.9,2.6,4.3,40,221,22.7,55.1,1006.9,0
2021-01-13,1,-0.8,1.9,2.1,30,263,27,68.4,1009,1
2021-01-14,-0.5,-1.7,0.5,0.5,90,306,20.2,58.7,1014,1
2021-01-15,-1.3,-3.9,-0.4,1,90,320,14.8,35.6,1022.6,0
2021-01-16,-4.4,-5.7,-3.7,0,120,289,15.5,34.6,1023.9,0
2021-01-17,-4.5,-8.6,-2.4,0,130,172,6.1,20.5,1020.6,15
2021-01-18,-1.6,-7.6,2.3,2,120,209,16.2,43.9,1020.5,0
2021-01-19,2.9,1.6,5,2.9,70,231,24.8,56.2,1011.8,0
2021-01-20,6.5,3.4,9.6,0,0,194,21.2,45.7,1006,41
2021-01-21,6.7,3,10.5,0,0,159,27,53.6,1000.4,137
2021-01-22,6.5,2.5,10.6,4.7,0,188,17.6,44.3,995.2,100
2021-01-23,0.9,-0.1,3,12.6,0,335,12.6,38.9,996.7,0
2021-01-24,-0.1,-1.9,0.6,5.2,100,169,10.4,22.3,996.3,0
2021-01-25,-0.4,-1.9,1.5,0,120,260,9,24.1,1004.1,143
2021-01-26,-0.6,-2.2,0.5,0,110,256,15.5,40.7,1012.8,0
2021-01-27,0.2,-2.6,2.6,0.2,110,236,14.4,33.5,1014.5,229
2021-01-28,1.6,-0.5,3.1,4,90,265,11.9,33.5,1004.9,0
2021-01-29,-0.4,-1.1,3.3,13.7,60,91,11.5,35.3,998,0
2021-01-30,-1,-2.9,4.6,0.2,100,324,12.6,57.2,1001.4,0
2021-01-31,-3.8,-7.4,0.3,0,110,131,10.4,31,1005.9,485
2021-02-01,-1,-4.8,1.8,0,100,142,25.9,46.4,999.1,275
2021-02-02,3.2,1.1,7.9,1,90,174,13.7,32.8,1002.7,0
2021-02-03,8.3,5.6,10.4,5.8,0,196,18.7,60.5,1000,41
2021-02-04,5.8,2.6,8.9,4.1,0,275,18,58.7,1011.1,6
2021-02-05,2,0.2,4.5,1.5,0,89,14.4,27.7,1016.7,15
2021-02-06,-0.9,-3.7,1.2,1.4,0,76,26.3,55.1,1015.2,0
2021-02-07,-6.7,-8.2,-3.7,7.3,80,75,34.2,59.8,1006.8,0
2021-02-08,-9.6,-10.3,-8.2,2,230,38,14.4,37.1,1002,13
2021-02-09,-11.4,-15.2,-9.5,0.1,230,319,6.1,13,1006.7,25
2021-02-10,-12.3,-16.2,-9.4,0,210,249,6.8,16.2,1012.5,231
2021-02-11,-7.3,-12.1,-4.9,0.3,180,300,9.7,24.8,1026.4,0
2021-02-12,-7.5,-10.4,-6.5,0,200,304,6.8,17.3,1035.3,0
